id,$a$,$p$,$sd_a$,$r_d$,$t$,X^2,bic
0.0,1.8767477170273226,2.007569382772486,2.1961965691346563,22.072706119223987,0.3437910796883917,32.840339634660715,1896.0557583772854
1.0,2.621890838158951,3.860953707870636,1.0712236120328398,17.087030240778994,0.4330024672922015,2.2507266674007402,1781.6095159515928
2.0,3.6091714306054747,4.21920085118855,1.17709664164912,12.367421390728701,0.29886111785525954,12.48735549412628,1791.8461447783181
3.0,2.8385190058108494,3.084684187587465,1.7772462913675364,22.640646088724395,0.31199498156120464,6.593442161782175,1785.952231445974
4.0,2.797194871845326,2.492019168898021,1.3325270443779669,13.229177242224674,0.21386742952383123,7.125492835297215,1786.4842821194893
5.0,1.7152749930598632,2.64036624244315,1.347133218756439,16.608179567050588,0.178621138663954,13.854625040504914,1808.2264795071687
6.0,2.836895424031486,4.011933428582972,1.8388163486846456,24.680109412160128,0.2607478554645547,11.228145560034207,1790.586934844226
7.0,2.6924565733516075,2.0009270136383255,2.381158169545704,13.187391997523697,0.17134491839697558,13.092501395426805,1807.4643558620908
8.0,1.5362994112798514,4.606577032790481,1.345701735443627,24.601185299640434,0.4448184820371972,14.619408247609906,1803.9862396503306
9.0,2.248139640050442,2.014262532515734,2.30539215442182,11.808472916898735,0.26230615796363904,55.42445658013315,1886.2266456573807
10.0,3.1323871739491644,4.396952714761796,1.3391332901642679,13.413597837943744,0.23204416866209263,5.553514117767194,1784.9123034019592
11.0,2.775697006826559,2.182154886785338,2.421122138376199,14.594796751379814,0.2504940388975354,7.75739613629516,1797.124227539016
12.0,2.751575027053352,5.20102226124707,1.6119412622045994,12.006460252291966,0.4112778735370963,4.2914873004305925,1783.6502765846226
13.0,2.488878915276021,2.469046949879158,2.420031462721308,21.99361986272206,0.18457376939089973,5.819860246896609,1790.1836725950316
14.0,2.3715378192308605,3.6794903934633814,2.265989380769633,11.108956400441755,0.22982532907889078,9.832542874760676,1823.0600110100743
