id,$a_{ss}$,$v_{ss}$,$a$,$v_{ta}$,$v_{fl}$,$v_{p2}$,$t$,X^2,bic
0.0,3.1291117573366787,4.92781165020746,2.991546798258874,0.6837506249977567,1.4802427833959497,7.756286636276942,0.3316273188664961,1.9140875579782959,1816.4504655841358
1.0,1.6031344738485838,4.550794114941237,2.830883411922154,1.2310620175582834,0.9890262680106264,7.681582915371916,0.30304190498473477,2.877649738002835,1803.2874029764478
2.0,3.2163124848846794,4.076591490683108,1.5404120417584914,0.5060062130950302,1.986561049552681,4.037441729188613,0.2908212666317499,20.13768339225373,2035.7905578191128
3.0,2.015193628087836,5.195531430444124,1.6788028713914496,0.7827017985315543,1.269106776365998,10.801793071298153,0.22709593741305195,0.8273137275358772,1840.8733814561533
4.0,3.682369839676576,2.8979776525963468,2.896169957349993,0.5022543132115987,2.194613709410433,4.074858499387444,0.23749928439729806,5.171169302045169,1967.299674242001
5.0,1.4552901150003268,4.933724358802213,3.476897928935509,0.5284686099425422,1.55526732566507,10.507930913081216,0.3090741076640984,1.886766819790612,1801.3707427157149
6.0,2.1925642515368264,3.153596797955692,3.6760679112184804,0.9596414425220843,0.7968552176596392,11.673235129108233,0.2994722691943511,0.8449779702767133,1791.2466890901933
7.0,3.2835133127006646,5.383665183414881,2.8782207459354914,0.7979847355578384,2.445077322707508,4.291942456827175,0.2658566805539523,4.159246533211022,1867.0836079311475
8.0,1.4278456699018158,3.680654925647426,3.4992744298437874,0.8742178057352419,1.891912487051599,8.301811229176892,0.3252279428975961,2.680244568769256,1812.1642304331165
9.0,3.1058825594814334,5.3247903762320545,2.2127016755923603,0.5688700957006987,1.8177090916483845,8.793253020421318,0.41855446356030934,5.573645642364563,1896.8640717187673
10.0,2.503707655668295,4.705145115617613,1.7588541023718935,0.7299517487343098,0.9776380832390027,8.687804454904606,0.35827916374719304,1.1028467057204208,1865.3938564650211
11.0,3.0670319949250517,3.5680132283534753,1.8239567446261062,1.0019237698383523,1.3071232740567509,11.129771289012629,0.24212379771464956,3.640741061197206,1918.270351624946
12.0,2.4008311744589728,5.498449340567204,1.4070068038542842,0.5010197215133668,2.285567713790931,5.762320610631075,0.24414375396241406,13.598925418820487,1981.817767086195
13.0,3.218256098015704,3.18735455886965,3.4421695588399337,1.0325881640036825,1.628354583756781,7.9372606790881,0.17555068008200042,8.60533613964748,1841.358626416655
14.0,2.50122920294149,3.070820703517933,1.4666638769732772,0.8444720432596449,1.4647433637701306,8.901334774780562,0.22130468595189942,5.7201277645020205,2001.1717309708324
15.0,2.883416381124916,3.3980722067297755,1.6176409833751981,0.5164359588874952,1.791796111802804,10.611043459205241,0.32745813221838793,4.887393172978199,2035.4976048690596
16.0,1.7820817116688676,3.84845321585553,2.9291889432387332,0.6918739091855655,0.7234180861274656,6.819058254761591,0.43973557477199127,0.5022001969053389,1799.9861760928293
