id,$a$,$v_{c}$,$\alpha$,$\tau$,$\eta$,$t$,X^2,bic
0.0,0.8252756900015266,2.5868225064312513,1.5347371183126495,95.47188825488294,132.034087117421,0.34616554516485776,7.481089047885371,2132.8108007729215
1.0,1.0781256657860558,4.4929817242751415,2.981378855465875,29.734509003245847,246.2466790826186,0.3949082819157337,7.448108005285196,1890.3539401047917
2.0,0.8959171164816327,4.1814020602329265,3.297820928277437,35.72090290765909,242.0738540659538,0.36017168760341917,11.792929807128669,1916.5440485488505
3.0,1.0410836723078858,3.1717630082109327,1.5049529269935242,67.63884480350788,143.1946969775578,0.3786444957976356,23.287993561709285,1984.1381552387315
4.0,1.0008907551007769,5.257718336191632,2.500238028305974,67.11885874878001,212.22772890013,0.3503647327355036,7.1951444438949395,1866.5473080388488
5.0,1.1275007778656756,5.427140681509936,1.8218137712680145,116.33238240427714,220.16426853103198,0.3902556450459582,5.6632761176019795,1847.3767982725267
6.0,1.073131863420765,6.137670582614682,2.502655161635535,68.3263498881706,243.01107299001183,0.276195638123408,9.955383818576564,1860.2096063999581
7.0,1.1220822359594314,5.138639811312004,2.880647850424352,40.270404236773565,297.7709440157396,0.26772399421165605,12.865271692120949,1884.8675320569334
8.0,1.1423869143819474,3.4649511264631867,1.631252224710047,61.51353381427591,315.0194889755871,0.2982123706865738,12.823875876787016,1939.9835730216146
9.0,1.2553629898876943,4.680049430123079,2.3127285049328288,57.103675036075444,130.46765218459325,0.3011147221022517,8.285792923290066,1817.2533409337182
10.0,0.787334579065482,2.3263403589222778,3.047221332038444,117.62737311859303,230.20099462239494,0.32526532494234234,17.237700670225905,2185.8939648192845
11.0,0.8878237016814325,4.179394542456189,2.8060730384859514,49.84583142712563,152.95616258872388,0.3696011801683633,11.890226984453388,1943.261936937805
12.0,0.8670323580488172,4.97859312838444,2.836317379035927,114.17269520242228,118.17183291839206,0.363500217595965,11.282863977454728,1887.3181359438727
13.0,1.1790936881227443,6.046700143822401,4.0841505763077155,25.859491421676694,147.8923220102924,0.3481879283876539,3.8243161163191144,1788.7045663183733
14.0,1.0729793507399077,2.904364756490237,2.42150141899507,78.17514121810157,217.48473834469831,0.36787697130344765,11.490545872043505,2003.9684116721314
15.0,1.1668073910702013,3.816908716284297,3.6229854048384333,85.50784865997785,183.79394016925175,0.3952890854930249,6.266650250785567,1873.1947722829593
16.0,1.2343364939060617,5.661950498890635,2.177014306998375,84.38800988564681,247.1494280968946,0.32258955998462546,5.514640152496909,1814.1897663841687
17.0,1.2556115533891958,5.287695561302411,1.6377591533249174,52.414203800530984,247.54495794014076,0.3992599138383426,20.463138400163157,1852.723688337833
18.0,0.7260867532742145,3.872515178008389,3.395841320377789,94.08508041166519,162.41988808604776,0.321963428281122,12.739451986095201,2011.5867288280624
19.0,1.1978922677615265,5.740981527927474,2.0803829956706616,77.40877278273857,267.1777148194179,0.27916056819368834,7.202961087849859,1827.7050846424931
20.0,0.7896751550519058,2.961300530223804,2.812991639725439,27.4687466755111,226.7426240700763,0.34780410632258074,27.735296024720547,2046.2855003487082
21.0,1.181338165368838,6.315937431476986,2.3303231182471063,112.70009486298491,118.22464861627424,0.28462511232969423,3.015188450003806,1787.8954386520581
22.0,0.9693751609768895,5.6805622663545225,1.772300967431605,105.63892785254575,118.0,0.3513439588604615,3.959301100995927,1829.602062612865
23.0,1.1280932609400611,2.669120644056428,3.230754052352202,115.18236022755278,238.18487202303433,0.2925478279195539,17.440837953701145,2058.3319775466434
24.0,1.1347382407105617,3.953659065258473,2.7646019225204532,76.20886435377244,282.4668282165279,0.2693045638249383,14.43282433065737,1925.9863218971902
25.0,0.7999311315372286,3.0435615469595954,3.126925797720787,110.44122014249204,207.81503029107657,0.3164099325650084,18.68315621352192,2106.7299093405786
26.0,0.811386079066238,5.136336702465716,3.0657399342637266,30.00271318319843,149.43335246740958,0.38348851471410816,9.925899523627367,1904.0795083308144
27.0,1.0963269640857387,3.5543348494879323,3.8253146724045974,119.93478444846141,219.43087760528726,0.37671325458902877,5.77823783687666,1935.8000541730282
28.0,0.7085189926402519,3.7595695302495047,2.5247549811869723,20.0546747613377,285.23835811282515,0.30303273530692343,15.529570930525047,2014.6715649024925
29.0,1.087979541964068,6.053573370827978,3.7488159388901248,32.10830805078167,265.30564308873056,0.2830752222828584,2.935883626838618,1837.0002354927453
30.0,0.8692717118602813,4.950868341392788,3.8812921818491,20.91664403384258,120.40365840517991,0.38317809557947935,12.999057021369563,1909.9909331961123
31.0,1.2589544641667871,4.731918116790547,1.5336151033754968,109.02609739334596,159.32474640020905,0.2789156523987675,17.179842392477457,1858.0584143258266
32.0,1.0070561234145925,4.52534956627953,1.506477344667411,67.22645743998336,222.60384492803377,0.3338712157508766,10.528675380684795,1897.0502997742808
33.0,0.7060290194279928,6.318695229293244,1.8692105926302491,107.10098108756804,262.9654049017659,0.2795807151326505,11.018559489782056,1906.8792786824724
34.0,1.2228450257980104,3.091399577452667,3.859614451364749,45.074545508991335,312.8823295621323,0.3473364294741235,23.788907436757096,1966.3448778879294
35.0,1.1243993016502518,5.649388875158241,2.4161515237846367,59.235693094302825,222.8453713134865,0.3164440231427583,6.059630328644667,1861.2117002590053
